rank,name,skillId,source,installCount,detailPath,detailUrl
1905,bun-runtime,bun-runtime,/affaan-m/everything-claude-code,4735,affaan-m/everything-claude-code/bun-runtime,https://skills.sh/affaan-m/everything-claude-code/bun-runtime
1906,chrome-devtools,chrome-devtools,/chromedevtools/chrome-devtools-mcp,4725,chromedevtools/chrome-devtools-mcp/chrome-devtools,https://skills.sh/chromedevtools/chrome-devtools-mcp/chrome-devtools
1907,blueprint,blueprint,/affaan-m/everything-claude-code,4723,affaan-m/everything-claude-code/blueprint,https://skills.sh/affaan-m/everything-claude-code/blueprint
1908,ui-ux-pro-max,ui-ux-pro-max,/kimny1143/claude-code-template,4716,kimny1143/claude-code-template/ui-ux-pro-max,https://skills.sh/kimny1143/claude-code-template/ui-ux-pro-max
1909,alert-manager,alert-manager,/aaron-he-zhu/seo-geo-claude-skills,4715,aaron-he-zhu/seo-geo-claude-skills/alert-manager,https://skills.sh/aaron-he-zhu/seo-geo-claude-skills/alert-manager
1910,rank-tracker,rank-tracker,/aaron-he-zhu/seo-geo-claude-skills,4714,aaron-he-zhu/seo-geo-claude-skills/rank-tracker,https://skills.sh/aaron-he-zhu/seo-geo-claude-skills/rank-tracker
1911,architecture-decision-records,architecture-decision-records,/affaan-m/everything-claude-code,4710,affaan-m/everything-claude-code/architecture-decision-records,https://skills.sh/affaan-m/everything-claude-code/architecture-decision-records
1912,sanity-migration,sanity-migration,/sanity-io/agent-toolkit,4703,sanity-io/agent-toolkit/sanity-migration,https://skills.sh/sanity-io/agent-toolkit/sanity-migration
1913,domain-authority-auditor,domain-authority-auditor,/aaron-he-zhu/seo-geo-claude-skills,4700,aaron-he-zhu/seo-geo-claude-skills/domain-authority-auditor,https://skills.sh/aaron-he-zhu/seo-geo-claude-skills/domain-authority-auditor
1914,entity-optimizer,entity-optimizer,/aaron-he-zhu/seo-geo-claude-skills,4684,aaron-he-zhu/seo-geo-claude-skills/entity-optimizer,https://skills.sh/aaron-he-zhu/seo-geo-claude-skills/entity-optimizer
1915,ai-regression-testing,ai-regression-testing,/affaan-m/everything-claude-code,4684,affaan-m/everything-claude-code/ai-regression-testing,https://skills.sh/affaan-m/everything-claude-code/ai-regression-testing
1916,kotlin-testing,kotlin-testing,/affaan-m/everything-claude-code,4677,affaan-m/everything-claude-code/kotlin-testing,https://skills.sh/affaan-m/everything-claude-code/kotlin-testing
1917,n8n-code-javascript,n8n-code-javascript,/czlonkowski/n8n-skills,4669,czlonkowski/n8n-skills/n8n-code-javascript,https://skills.sh/czlonkowski/n8n-skills/n8n-code-javascript
1918,pptx-generator,pptx-generator,/minimax-ai/skills,4667,minimax-ai/skills/pptx-generator,https://skills.sh/minimax-ai/skills/pptx-generator
1919,everything-claude-code-conventions,everything-claude-code-conventions,/affaan-m/everything-claude-code,4665,affaan-m/everything-claude-code/everything-claude-code-conventions,https://skills.sh/affaan-m/everything-claude-code/everything-claude-code-conventions
1920,exa-search,exa-search,/affaan-m/everything-claude-code,4664,affaan-m/everything-claude-code/exa-search,https://skills.sh/affaan-m/everything-claude-code/exa-search
1921,typescript-pro,typescript-pro,/jeffallan/claude-skills,4662,jeffallan/claude-skills/typescript-pro,https://skills.sh/jeffallan/claude-skills/typescript-pro
1922,playground,playground,/anthropics/claude-plugins-official,4652,anthropics/claude-plugins-official/playground,https://skills.sh/anthropics/claude-plugins-official/playground
1923,next-browser,next-browser,/vercel-labs/next-browser,4652,vercel-labs/next-browser/next-browser,https://skills.sh/vercel-labs/next-browser/next-browser
1924,chart-visualization,chart-visualization,/antvis/chart-visualization-skills,4646,antvis/chart-visualization-skills/chart-visualization,https://skills.sh/antvis/chart-visualization-skills/chart-visualization
1925,supply-chain-risk-auditor,supply-chain-risk-auditor,/trailofbits/skills,4641,trailofbits/skills/supply-chain-risk-auditor,https://skills.sh/trailofbits/skills/supply-chain-risk-auditor
1926,landing-page-copywriter,landing-page-copywriter,/onewave-ai/claude-skills,4638,onewave-ai/claude-skills/landing-page-copywriter,https://skills.sh/onewave-ai/claude-skills/landing-page-copywriter
1927,customs-trade-compliance,customs-trade-compliance,/affaan-m/everything-claude-code,4633,affaan-m/everything-claude-code/customs-trade-compliance,https://skills.sh/affaan-m/everything-claude-code/customs-trade-compliance
1928,documentation-lookup,documentation-lookup,/affaan-m/everything-claude-code,4629,affaan-m/everything-claude-code/documentation-lookup,https://skills.sh/affaan-m/everything-claude-code/documentation-lookup
1929,embedded-systems,embedded-systems,/jeffallan/claude-skills,4627,jeffallan/claude-skills/embedded-systems,https://skills.sh/jeffallan/claude-skills/embedded-systems
1930,tiktok-marketing,tiktok-marketing,/claude-office-skills/skills,4622,claude-office-skills/skills/tiktok-marketing,https://skills.sh/claude-office-skills/skills/tiktok-marketing
1931,enterprise-agent-ops,enterprise-agent-ops,/affaan-m/everything-claude-code,4622,affaan-m/everything-claude-code/enterprise-agent-ops,https://skills.sh/affaan-m/everything-claude-code/enterprise-agent-ops
1932,differential-review,differential-review,/trailofbits/skills,4621,trailofbits/skills/differential-review,https://skills.sh/trailofbits/skills/differential-review
1933,clawdirect,clawdirect,/napoleond/clawdirect,4620,napoleond/clawdirect/clawdirect,https://skills.sh/napoleond/clawdirect/clawdirect
1934,office-mcp,office-mcp,/claude-office-skills/skills,4619,claude-office-skills/skills/office-mcp,https://skills.sh/claude-office-skills/skills/office-mcp
1935,content-creator,content-creator,/shubhamsaboo/awesome-llm-apps,4616,shubhamsaboo/awesome-llm-apps/content-creator,https://skills.sh/shubhamsaboo/awesome-llm-apps/content-creator
1936,lavish,lavish,/kunchenguid/lavish-axi,4613,kunchenguid/lavish-axi/lavish,https://skills.sh/kunchenguid/lavish-axi/lavish
1937,web-typography,web-typography,/wondelai/skills,4607,wondelai/skills/web-typography,https://skills.sh/wondelai/skills/web-typography
1938,pytorch-patterns,pytorch-patterns,/affaan-m/everything-claude-code,4606,affaan-m/everything-claude-code/pytorch-patterns,https://skills.sh/affaan-m/everything-claude-code/pytorch-patterns
1939,ralphinho-rfc-pipeline,ralphinho-rfc-pipeline,/affaan-m/everything-claude-code,4604,affaan-m/everything-claude-code/ralphinho-rfc-pipeline,https://skills.sh/affaan-m/everything-claude-code/ralphinho-rfc-pipeline
1940,notion-cli,notion-cli,/makenotion/skills,4601,makenotion/skills/notion-cli,https://skills.sh/makenotion/skills/notion-cli
1941,validate-skills,validate-skills,/callstackincubator/agent-skills,4592,callstackincubator/agent-skills/validate-skills,https://skills.sh/callstackincubator/agent-skills/validate-skills
1942,data-scraper-agent,data-scraper-agent,/affaan-m/everything-claude-code,4589,affaan-m/everything-claude-code/data-scraper-agent,https://skills.sh/affaan-m/everything-claude-code/data-scraper-agent
1943,angular-tooling,angular-tooling,/analogjs/angular-skills,4584,analogjs/angular-skills/angular-tooling,https://skills.sh/analogjs/angular-skills/angular-tooling
1944,ljg-read,ljg-read,/lijigang/ljg-skills,4584,lijigang/ljg-skills/ljg-read,https://skills.sh/lijigang/ljg-skills/ljg-read
